day,group,bagged,fridge_layer,weight
0,1,no,OOF,2
0,2,yes,OOF,4
0,3,no,top,6
0,4,yes,top,6
0,5,no,middle,4
0,6,yes,middle,3
0,7,no,bottom,3
0,8,yes,bottom,3
1,1,no,OOF,2
1,2,yes,OOF,4
1,3,no,top,5
1,4,yes,top,6
1,5,no,middle,3
1,6,yes,middle,4
1,7,no,bottom,3
1,8,yes,bottom,4
2,1,no,OOF,0
2,2,yes,OOF,2
2,3,no,top,4
2,4,yes,top,5
2,5,no,middle,3
2,6,yes,middle,3
2,7,no,bottom,3
2,8,yes,bottom,4
3,1,no,OOF,0
3,2,yes,OOF,3
3,3,no,top,3
3,4,yes,top,5
3,5,no,middle,2
3,6,yes,middle,3
3,7,no,bottom,2
3,8,yes,bottom,3
4,1,no,OOF,0
4,2,yes,OOF,3
4,3,no,top,2
4,4,yes,top,5
4,5,no,middle,2
4,6,yes,middle,4
4,7,no,bottom,2
4,8,yes,bottom,3
5,1,no,OOF,0
5,2,yes,OOF,NA
5,3,no,top,2
5,4,yes,top,5
5,5,no,middle,2
5,6,yes,middle,3
5,7,no,bottom,2
5,8,yes,bottom,3
6,1,no,OOF,0
6,2,yes,OOF,NA
6,3,no,top,0
6,4,yes,top,5
6,5,no,middle,0
6,6,yes,middle,3
6,7,no,bottom,2
6,8,yes,bottom,3
7,1,no,OOF,0
7,2,yes,OOF,NA
7,3,no,top,0
7,4,yes,top,5
7,5,no,middle,2
7,6,yes,middle,3
7,7,no,bottom,2
7,8,yes,bottom,3
8,1,no,OOF,0
8,2,yes,OOF,NA
8,3,no,top,0
8,4,yes,top,5
8,5,no,middle,0
8,6,yes,middle,3
8,7,no,bottom,0
8,8,yes,bottom,3
9,1,no,OOF,0
9,2,yes,OOF,NA
9,3,no,top,0
9,4,yes,top,5
9,5,no,middle,0
9,6,yes,middle,3
9,7,no,bottom,0
9,8,yes,bottom,3
10,1,no,OOF,0
10,2,yes,OOF,NA
10,3,no,top,0
10,4,yes,top,5
10,5,no,middle,0
10,6,yes,middle,3
10,7,no,bottom,0
10,8,yes,bottom,2
